,AFLfantasy,Supercoach,disposals,gameID,homeAway,name
0,136,125,30,4961,Home,Lenny Hayes
1,109,97,30,4961,Home,Brendon Goddard
2,79,64,21,4961,Home,Jason Gram
3,88,109,20,4961,Home,Sam Fisher
4,94,101,20,4961,Home,Farren Ray
5,80,77,20,4961,Home,James Gwilt
6,102,119,19,4961,Home,Adam Schneider
7,85,77,19,4961,Home,Nick Dal Santo
8,68,49,18,4961,Home,Leigh Montagna
9,61,65,18,4961,Home,Clinton Jones
10,70,84,17,4961,Home,Jason Blake
11,90,106,16,4961,Home,Nick Riewoldt
12,74,96,15,4961,Home,Sean Dempster
13,48,67,14,4961,Home,Zac Dawson
14,85,99,12,4961,Home,Michael S Gardiner
15,61,59,12,4961,Home,Brett Peake
16,39,45,10,4961,Home,Sam Gilbert
17,86,96,9,4961,Home,Ben McEvoy
18,46,40,9,4961,Home,Jack Steven
19,37,47,7,4961,Home,Stephen Milne
20,43,5,6,4961,Home,Justin Koschitzke
21,29,34,6,4961,Home,Andrew McQualter
22,101,149,33,4961,Away,Luke Hodge
23,99,130,29,4961,Away,Shaun Burgoyne
24,95,127,28,4961,Away,Brad Sewell
25,95,85,27,4961,Away,Sam Mitchell
26,65,89,20,4961,Away,Brent Guerra
27,117,88,19,4961,Away,Lance Franklin
28,51,47,18,4961,Away,Xavier Ellis
29,47,45,18,4961,Away,Grant Birchall
30,60,59,16,4961,Away,Campbell Brown
31,79,112,16,4961,Away,Jarryd Roughead
32,36,74,16,4961,Away,Josh Gibson
33,56,53,16,4961,Away,Benjamin Stratton
34,53,89,15,4961,Away,Thomas Murphy
35,48,39,14,4961,Away,Chance Bateman
36,60,93,13,4961,Away,Stephen Gilham
37,63,62,12,4961,Away,Clinton Young
38,54,80,12,4961,Away,Cyril Rioli
39,55,70,10,4961,Away,Brent Renouf
40,55,39,10,4961,Away,Brendan Whitecross
41,41,48,8,4961,Away,Wayde Skipper
42,24,24,8,4961,Away,Jordan Lewis
43,57,54,7,4961,Away,Michael Osborne
44,133,190,37,4962,Home,Dane Swan
45,114,84,30,4962,Home,Scott Pendlebury
46,122,141,28,4962,Home,Alan Didak
47,95,110,26,4962,Home,Ben Johnson
48,89,77,26,4962,Home,Dale Thomas
49,87,115,22,4962,Home,Ben Reid
50,70,89,22,4962,Home,Steele Sidebottom
51,88,95,21,4962,Home,Luke Ball
52,120,105,19,4962,Home,Leigh Brown
53,62,83,19,4962,Home,Tyson Goldsack
54,78,87,19,4962,Home,Dayne Beams
55,88,150,18,4962,Home,Brent Macaffer
56,59,24,17,4962,Home,Sharrod Wellingham
57,90,120,16,4962,Home,Darren Jolly
58,76,58,16,4962,Home,Tarkyn Lockyer
59,72,79,16,4962,Home,Jarryd Blair
60,75,95,15,4962,Home,Leon Davis
61,59,41,15,4962,Home,Heritier Lumumba
62,62,81,14,4962,Home,Chris Dawes
63,30,45,10,4962,Home,Nick Maxwell
64,37,45,9,4962,Home,Alan Toovey
65,7,30,4,4962,Home,Simon Prestigiacomo
66,76,53,25,4962,Away,Shane Tuck
67,97,106,25,4962,Away,Mitch Morton
68,87,75,24,4962,Away,Ben Cousins
69,99,89,23,4962,Away,Alex Rance
70,89,91,20,4962,Away,David Astbury
71,71,82,19,4962,Away,Brett Deledio
72,62,64,19,4962,Away,Dean Polo
73,58,60,19,4962,Away,Shane Edwards
74,76,76,18,4962,Away,Luke McGuane
75,79,46,18,4962,Away,Daniel Connors
76,44,50,17,4962,Away,Dustin Martin
77,76,77,16,4962,Away,Chris Newman
78,69,89,15,4962,Away,Jake King
79,44,57,15,4962,Away,Jeromey Webberley
80,60,56,14,4962,Away,Robin Nahas
81,53,18,12,4962,Away,Ben Nason
82,56,78,11,4962,Away,Andrew Collins
83,51,62,11,4962,Away,Mitch Farmer
84,55,44,9,4962,Away,Jack Riewoldt
85,22,19,8,4962,Away,Jayden Post
86,56,63,6,4962,Away,Angus Graham
87,13,4,3,4962,Away,Andrew Browne
88,162,175,41,4963,Home,Joel Selwood
89,108,145,35,4963,Home,Darren Milburn
90,100,75,30,4963,Home,Jimmy Bartel
91,109,130,28,4963,Home,James Kelly
92,115,91,27,4963,Home,Paul Chapman
93,126,144,26,4963,Home,Gary Jnr Ablett
94,100,92,25,4963,Home,Cameron Ling
95,86,98,25,4963,Home,David Wojcinski
96,109,94,23,4963,Home,Joel Corey
97,65,86,20,4963,Home,Matthew Scarlett
98,71,64,20,4963,Home,Mathew Stokes
99,81,121,20,4963,Home,Harry Taylor
100,59,59,19,4963,Home,Corey Enright
101,82,75,19,4963,Home,Josh Hunt
102,62,59,17,4963,Home,Andrew Mackie
103,62,79,16,4963,Home,Tom Lonergan
104,96,94,15,4963,Home,Travis Varcoe
105,53,53,13,4963,Home,Cameron Mooney
106,81,67,12,4963,Home,Steve Johnson
107,63,70,12,4963,Home,James Podsiadly
108,71,75,10,4963,Home,Brad Ottens
109,39,27,10,4963,Home,Mark Blake
110,112,127,36,4963,Away,Luke Power
111,87,101,31,4963,Away,Tom Rockliff
112,109,82,25,4963,Away,Jack Redden
113,87,62,23,4963,Away,Jared Brennan
114,103,106,22,4963,Away,Michael Rischitelli
115,54,61,18,4963,Away,Ryan Harwood
116,91,86,17,4963,Away,Matthew Leuenberger
117,61,76,16,4963,Away,Brent Staker
118,82,76,16,4963,Away,Albert Proud
119,50,40,16,4963,Away,Pearce Hanley
120,63,46,14,4963,Away,Matthew Maguire
121,58,53,13,4963,Away,Mitchell Clark
122,64,60,12,4963,Away,Daniel Merrett
123,35,28,12,4963,Away,Daniel Rich
124,83,63,11,4963,Away,Jonathan Brown
125,41,31,11,4963,Away,James Hawksley
126,59,34,10,4963,Away,Todd Banfield
127,51,57,9,4963,Away,Aaron Cornelius
128,41,29,8,4963,Away,Brendan Fevola
129,49,33,8,4963,Away,Amon Buchanan
130,44,44,8,4963,Away,James Polkinghorne
131,28,37,5,4963,Away,Joel Patfull
132,100,95,27,4964,Home,Andrew Embley
133,99,94,26,4964,Home,Matthew Rosa
134,83,108,24,4964,Home,Beau Waters
135,97,101,23,4964,Home,Brad Ebert
136,47,68,19,4964,Home,Matthew Priddis
137,73,79,18,4964,Home,Quinten Lynch
138,82,113,18,4964,Home,Mark Lecras
139,70,113,17,4964,Home,Eric MacKenzie
140,57,69,16,4964,Home,Adam Selwood
141,45,26,16,4964,Home,Mitchell Brown
142,63,56,16,4964,Home,Lewis Stevenson
143,84,95,16,4964,Home,Andrew Strijk
144,53,39,15,4964,Home,Chris Masten
145,47,44,13,4964,Home,Scott Selwood
146,52,94,13,4964,Home,Ashton Hams
147,43,60,12,4964,Home,Shannon Hurn
148,72,52,11,4964,Home,Nicholas Naitanui
149,52,70,11,4964,Home,Ashley Smith
150,64,44,10,4964,Home,Joshua Kennedy
151,37,33,8,4964,Home,Dean Cox
152,22,27,8,4964,Home,Bradley Sheppard
153,22,54,6,4964,Home,Will Schofield
154,125,139,33,4964,Away,Kade Simpson
155,114,117,29,4964,Away,Heath Scotland
156,108,121,29,4964,Away,Shaun Grigg
157,97,110,26,4964,Away,Chris Judd
158,106,129,26,4964,Away,Marc Murphy
159,97,95,21,4964,Away,Bryce Gibbs
160,95,62,20,4964,Away,Christopher Johnson
161,90,102,19,4964,Away,Jarrad Waite
162,78,70,19,4964,Away,Andrew Carrazzo
163,68,47,18,4964,Away,Andrew Walker
164,70,76,18,4964,Away,Jordan Russell
165,55,70,18,4964,Away,Paul Bower
166,84,115,17,4964,Away,Eddie Betts
167,76,73,15,4964,Away,Jeff Garlett
168,51,48,14,4964,Away,Aaron Joseph
169,66,78,14,4964,Away,Christopher Yarran
170,65,53,12,4964,Away,Michael Jamison
171,74,98,11,4964,Away,Lachlan Henderson
172,50,53,10,4964,Away,Robert Warnock
173,64,46,10,4964,Away,David Ellard
174,46,54,9,4964,Away,Shaun Hampson
175,20,20,5,4964,Away,Dennis Armfield
176,93,98,30,4965,Home,Brent Harvey
177,104,90,28,4965,Home,Brady Rawlings
178,160,156,27,4965,Home,Andrew Swallow
179,84,89,23,4965,Home,Leigh Adams
180,112,139,22,4965,Home,Levi Greenwood
181,65,83,19,4965,Home,Scott Thompson
182,67,75,15,4965,Home,Leigh Harding
183,94,106,15,4965,Home,Aaron Edwards
184,80,89,15,4965,Home,Ben Warren
185,74,76,14,4965,Home,Lachlan Hansen
186,53,44,13,4965,Home,Ed Lower
187,83,93,12,4965,Home,Hamish McIntosh
188,39,28,12,4965,Home,Ben Cunnington
189,50,41,12,4965,Home,Jamie MacMillan
190,50,56,11,4965,Home,Michael Firrito
191,54,59,10,4965,Home,Gavin Urquhart
192,45,40,10,4965,Home,Benjamin Speight
193,48,43,10,4965,Home,Ryan Bastinac
194,60,48,8,4965,Home,Todd Goldstein
195,25,35,8,4965,Home,Josh Smith
196,39,43,5,4965,Home,Matt Campbell
197,24,25,4,4965,Home,David Hale
198,120,139,38,4965,Away,Jobe Watson
199,89,97,27,4965,Away,Jason Winderlich
200,79,66,26,4965,Away,David Zaharakis
201,89,100,24,4965,Away,Courtenay Dempsey
202,93,99,23,4965,Away,Kyle Reimers
203,77,88,22,4965,Away,Brent Stanton
204,91,98,20,4965,Away,Dustin Fletcher
205,64,51,20,4965,Away,Ben Howlett
206,67,90,18,4965,Away,Mark McVeigh
207,69,76,18,4965,Away,Brent Prismall
208,81,52,18,4965,Away,Travis Colyer
209,66,59,17,4965,Away,Heath Hocking
210,75,87,17,4965,Away,Michael Hurley
211,79,74,15,4965,Away,Angus Monfries
212,67,83,15,4965,Away,Alwyn Davey
213,75,91,14,4965,Away,Scott Gumbleton
214,65,69,14,4965,Away,Bachar Houli
215,48,53,12,4965,Away,Cale Hooker
216,36,37,11,4965,Away,Leroy Jetta
217,83,89,11,4965,Away,Kyle Hardingham
218,59,54,9,4965,Away,Jay Neagle
219,71,90,8,4965,Away,Patrick Ryder
220,110,130,36,4966,Home,Adam Cooney
221,117,93,33,4966,Home,Matthew Boyd
222,134,120,32,4966,Home,Jarrod Harbrow
223,132,111,31,4966,Home,Daniel Cross
224,84,102,28,4966,Home,Robert Murphy
225,119,111,26,4966,Home,Daniel Giansiracusa
226,80,77,26,4966,Home,Lindsay Gilbee
227,91,124,24,4966,Home,Ryan Griffen
228,78,88,22,4966,Home,Shaun Higgins
229,109,118,21,4966,Home,Brian Lake
230,81,89,21,4966,Home,Ryan Hargrave
231,109,92,20,4966,Home,Jarrad Grant
232,67,101,18,4966,Home,Easton Wood
233,86,85,18,4966,Home,Jordan Roughead
234,79,92,15,4966,Home,Liam Picken
235,70,52,14,4966,Home,Brad Johnson
236,88,99,14,4966,Home,Brodie Moles
237,68,89,13,4966,Home,Ben Hudson
238,60,52,13,4966,Home,Callan Ward
239,73,100,12,4966,Home,Barry Hall
240,46,45,9,4966,Home,Tom Williams
241,58,73,8,4966,Home,Dale Morris
242,111,99,24,4966,Away,Nicholas Suban
243,80,72,22,4966,Away,Roger Hayden
244,96,99,20,4966,Away,Matthew Pavlich
245,84,99,19,4966,Away,Michael Johnson
246,61,72,16,4966,Away,Rhys Palmer
247,66,71,15,4966,Away,Antoni Grover
248,71,80,15,4966,Away,Paul Hasleby
249,54,64,15,4966,Away,Paul Duffield
250,60,91,15,4966,Away,Greg Broughton
251,62,54,14,4966,Away,Clancee Pearce
252,51,26,14,4966,Away,Nathan Fyfe
253,57,53,13,4966,Away,Garrick Ibbotson
254,50,55,13,4966,Away,Jesse Crichton
255,48,64,12,4966,Away,Luke McPharlin
256,38,42,12,4966,Away,Stephen Hill
257,45,39,12,4966,Away,Jay Van Berlo
258,59,35,11,4966,Away,Hayden Ballantyne
259,53,45,8,4966,Away,Aaron Sandilands
260,57,47,8,4966,Away,Adam McPhee
261,33,29,8,4966,Away,Matthew De Boer
262,31,7,6,4966,Away,Anthony Morabito
263,29,16,4,4966,Away,Dylan Roberton
264,124,117,28,4967,Home,Colin Sylvia
265,115,103,27,4967,Home,James Frawley
266,85,96,25,4967,Home,Aaron Davey
267,79,107,23,4967,Home,Cameron Bruce
268,99,113,23,4967,Home,Cale Morton
269,71,108,20,4967,Home,Joel Macdonald
270,103,99,20,4967,Home,Clint Bartram
271,63,68,19,4967,Home,Rohan Bail
272,90,105,18,4967,Home,Jordie McKenzie
273,60,56,16,4967,Home,Addam Maric
274,90,91,14,4967,Home,Mark Jamar
275,73,98,14,4967,Home,Austin Wonaeamirri
276,74,78,14,4967,Home,Tom Scully
277,54,67,13,4967,Home,Colin Garland
278,90,123,12,4967,Home,Brad Green
279,62,84,11,4967,Home,Lynden Dunn
280,61,68,11,4967,Home,Jamie Bennell
281,42,47,10,4967,Home,Paul Johnson
282,55,72,9,4967,Home,Jared Rivers
283,54,54,9,4967,Home,Nathan Jones
284,47,55,9,4967,Home,Jack Watts
285,47,53,9,4967,Home,Liam Jurrah
286,124,141,26,4967,Away,Adam Goodes
287,86,115,25,4967,Away,Nick Malceski
288,87,60,25,4967,Away,Ben McGlynn
289,85,85,25,4967,Away,Daniel Hannebery
290,69,77,21,4967,Away,Josh P Kennedy
291,95,81,20,4967,Away,Kieren Jack
292,65,65,17,4967,Away,Jude Bolton
293,62,52,15,4967,Away,Jarrad McVeigh
294,52,43,15,4967,Away,Jarred Moore
295,44,70,14,4967,Away,Martin Mattner
296,39,31,14,4967,Away,Tadhg Kennelly
297,63,62,14,4967,Away,Ted Richards
298,62,84,14,4967,Away,Paul Bevan
299,53,63,14,4967,Away,Heath Grundy
300,50,42,14,4967,Away,Lewis Jetta
301,65,89,12,4967,Away,Jesse White
302,40,51,11,4967,Away,Rhyce Shaw
303,45,58,10,4967,Away,Brett Kirk
304,23,25,10,4967,Away,Ryan OKeefe
305,50,68,9,4967,Away,Shane Mumford
306,53,60,8,4967,Away,Mike Pyke
307,25,15,6,4967,Away,Brett Meredith
308,101,124,28,4968,Home,Kane Cornes
309,124,146,28,4968,Home,Domenic Cassisi
310,85,80,27,4968,Home,Danyle Pearce
311,115,150,26,4968,Home,Troy Chaplin
312,93,127,25,4968,Home,Travis Boak
313,95,105,22,4968,Home,Matt Thomas
314,64,68,17,4968,Home,Nick Salter
315,74,104,16,4968,Home,David Rodan
316,89,93,15,4968,Home,Dean Brogan
317,84,81,15,4968,Home,Josh Carr
318,75,83,15,4968,Home,Tom Logan
319,95,130,15,4968,Home,Brett Ebert
320,82,128,14,4968,Home,Justin Westhoff
321,63,68,12,4968,Home,Paul Stewart
322,34,32,12,4968,Home,Matthew Broadbent
323,67,68,11,4968,Home,Jay Schulz
324,52,66,11,4968,Home,Mitchell Banner
325,37,41,9,4968,Home,Alipate Carlile
326,36,36,9,4968,Home,Andrew Moore
327,44,20,9,4968,Home,Cameron Hitchcock
328,29,17,7,4968,Home,Daniel Stewart
329,36,42,6,4968,Home,Robbie Gray
330,112,125,25,4968,Away,Scott Thompson
331,69,80,24,4968,Away,Brad Symes
332,91,73,24,4968,Away,Ricky Henderson
333,71,69,19,4968,Away,Nathan Van Berlo
334,74,66,18,4968,Away,Brent Reilly
335,70,67,18,4968,Away,Bernie Vince
336,57,77,18,4968,Away,Jason Porplyzia
337,71,71,18,4968,Away,David MacKay
338,79,84,17,4968,Away,Michael Doughty
339,64,73,17,4968,Away,Patrick Dangerfield
340,71,57,16,4968,Away,Richard Douglas
341,60,71,15,4968,Away,Graham Johncock
342,59,60,15,4968,Away,Nathan Bock
343,58,69,14,4968,Away,Ben Rutten
344,59,63,13,4968,Away,Rory Sloane
345,53,55,13,4968,Away,Matthew Jaensch
346,69,106,12,4968,Away,Scott Stevens
347,67,56,11,4968,Away,Taylor Walker
348,30,27,9,4968,Away,Tony Armstrong
349,44,68,8,4968,Away,Ivan Maric
350,31,42,6,4968,Away,Jonathon Griffin
351,38,32,5,4968,Away,Kurt Tippett
352,126,133,33,4969,Home,Paul Chapman
353,113,110,27,4969,Home,Joel Selwood
354,112,133,25,4969,Home,Corey Enright
355,79,84,24,4969,Home,Josh Hunt
356,94,109,23,4969,Home,Jimmy Bartel
357,95,107,21,4969,Home,Gary Jnr Ablett
358,82,63,21,4969,Home,Joel Corey
359,81,75,21,4969,Home,James Kelly
360,57,78,20,4969,Home,Matthew Scarlett
361,80,68,19,4969,Home,Steve Johnson
362,89,118,18,4969,Home,Darren Milburn
363,96,113,17,4969,Home,Tom Hawkins
364,64,49,16,4969,Home,David Wojcinski
365,53,88,16,4969,Home,Harry Taylor
366,65,76,16,4969,Home,Taylor Hunt
367,64,72,15,4969,Home,Shannon Byrnes
368,89,68,14,4969,Home,Travis Varcoe
369,54,34,13,4969,Home,Mathew Stokes
370,70,65,12,4969,Home,Cameron Mooney
371,83,102,12,4969,Home,James Podsiadly
372,45,50,8,4969,Home,Mark Blake
373,49,59,6,4969,Home,Daniel Menzel
374,112,103,30,4969,Away,Marc Murphy
375,76,110,28,4969,Away,Andrew Carrazzo
376,92,130,26,4969,Away,Bryce Gibbs
377,72,75,20,4969,Away,Chris Judd
378,72,75,20,4969,Away,Heath Scotland
379,95,80,20,4969,Away,Mitch Robinson
380,79,58,19,4969,Away,Shaun Grigg
381,87,96,18,4969,Away,Kade Simpson
382,54,64,17,4969,Away,Andrew Walker
383,46,53,15,4969,Away,Dennis Armfield
384,59,8,14,4969,Away,Jeff Garlett
385,82,99,13,4969,Away,Lachlan Henderson
386,84,73,12,4969,Away,Sam Jacobs
387,42,26,11,4969,Away,Richard Hadley
388,49,69,10,4969,Away,Jarrad Waite
389,32,59,10,4969,Away,Jordan Russell
390,31,47,10,4969,Away,Eddie Betts
391,52,37,9,4969,Away,David Ellard
392,37,61,8,4969,Away,Michael Jamison
393,24,20,7,4969,Away,Marcus Davies
394,19,41,6,4969,Away,Paul Bower
395,53,62,6,4969,Away,Robert Warnock
396,143,171,37,4970,Home,Shaun Burgoyne
397,129,98,35,4970,Home,Sam Mitchell
398,128,148,34,4970,Home,Josh Gibson
399,119,104,29,4970,Home,Chance Bateman
400,119,108,28,4970,Home,Jordan Lewis
401,92,128,24,4970,Home,Brent Guerra
402,104,91,24,4970,Home,Xavier Ellis
403,112,104,23,4970,Home,Luke Hodge
404,89,85,23,4970,Home,Brendan Whitecross
405,127,111,21,4970,Home,Cyril Rioli
406,64,62,20,4970,Home,Grant Birchall
407,78,74,19,4970,Home,Campbell Brown
408,83,87,19,4970,Home,Brad Sewell
409,77,47,18,4970,Home,Michael Osborne
410,98,129,17,4970,Home,Lance Franklin
411,68,67,16,4970,Home,Carl Peterson
412,49,69,15,4970,Home,Stephen Gilham
413,40,53,14,4970,Home,Thomas Murphy
414,73,81,13,4970,Home,Brent Renouf
415,77,61,13,4970,Home,Benjamin Stratton
416,84,63,12,4970,Home,Jarryd Roughead
417,58,72,10,4970,Home,Wayde Skipper
418,94,110,30,4970,Away,Greg Broughton
419,121,103,24,4970,Away,Michael Johnson
420,90,89,22,4970,Away,Michael Walters
421,70,58,21,4970,Away,Kepler Bradley
422,89,93,21,4970,Away,Paul Duffield
423,71,72,21,4970,Away,Rhys Palmer
424,74,61,18,4970,Away,Nicholas Suban
425,63,59,18,4970,Away,Matthew De Boer
426,52,38,15,4970,Away,Steven Dodd
427,63,37,15,4970,Away,Garrick Ibbotson
428,56,48,15,4970,Away,Clayton Hinkley
429,60,44,15,4970,Away,Clancee Pearce
430,58,67,15,4970,Away,Dylan Roberton
431,68,78,14,4970,Away,Jay Van Berlo
432,48,43,13,4970,Away,Luke McPharlin
433,61,51,12,4970,Away,Zachary Clarke
434,40,29,10,4970,Away,Byron Schammer
435,36,48,9,4970,Away,Jesse Crichton
436,46,36,9,4970,Away,Justin Bollenhagen
437,35,43,8,4970,Away,Antoni Grover
438,67,59,8,4970,Away,Ryan Murphy
439,10,19,3,4970,Away,Tim Ruffles
440,139,172,42,4971,Home,Leigh Montagna
441,145,170,36,4971,Home,Nick Dal Santo
442,140,144,29,4971,Home,Brendon Goddard
443,87,99,23,4971,Home,Sam Gilbert
444,78,83,20,4971,Home,Brett Peake
445,66,61,19,4971,Home,Jason Gram
446,108,136,18,4971,Home,Nick Riewoldt
447,65,84,17,4971,Home,James Gwilt
448,56,53,17,4971,Home,Jarryn Geary
449,68,62,16,4971,Home,Farren Ray
450,64,63,16,4971,Home,Luke Miles
451,61,62,14,4971,Home,Stephen Milne
452,63,63,14,4971,Home,Sean Dempster
453,89,112,13,4971,Home,Justin Koschitzke
454,52,64,13,4971,Home,Sam Fisher
455,51,54,13,4971,Home,David Armitage
456,67,95,13,4971,Home,Ben McEvoy
457,44,57,12,4971,Home,Jason Blake
458,35,48,11,4971,Home,Adam Schneider
459,54,62,11,4971,Home,Andrew McQualter
460,36,36,7,4971,Home,Adam Pattison
461,8,12,3,4971,Home,Nicholas Heyne
462,99,85,26,4971,Away,Daniel Connors
463,99,140,25,4971,Away,Brett Deledio
464,86,70,25,4971,Away,Shane Edwards
465,91,112,22,4971,Away,Trent Cotchin
466,69,78,21,4971,Away,Shane Tuck
467,76,67,20,4971,Away,Ben Cousins
468,71,72,20,4971,Away,Mitch Morton
469,135,159,17,4971,Away,Jack Riewoldt
470,50,77,16,4971,Away,David Gourdis
471,51,39,16,4971,Away,Jamie OReilly
472,69,73,15,4971,Away,Kelvin Moore
473,64,75,15,4971,Away,Alex Rance
474,62,65,15,4971,Away,Robin Nahas
475,56,40,15,4971,Away,Dustin Martin
476,66,87,12,4971,Away,Jake King
477,45,34,10,4971,Away,Chris Newman
478,69,59,10,4971,Away,Angus Graham
479,79,70,10,4971,Away,Troy Taylor
480,44,35,9,4971,Away,Jayden Post
481,12,24,7,4971,Away,Will Thursfield
482,25,38,7,4971,Away,Andrew Collins
483,24,20,7,4971,Away,David Astbury
484,101,104,30,4972,Home,Scott Pendlebury
485,103,100,28,4972,Home,Dane Swan
486,110,92,28,4972,Home,Steele Sidebottom
487,108,133,26,4972,Home,Dale Thomas
488,92,107,24,4972,Home,Alan Didak
489,80,94,22,4972,Home,Ben Johnson
490,74,70,21,4972,Home,Luke Ball
491,85,118,20,4972,Home,Darren Jolly
492,81,83,20,4972,Home,Sharrod Wellingham
493,77,85,19,4972,Home,Dayne Beams
494,72,90,19,4972,Home,Jarryd Blair
495,95,90,17,4972,Home,Brent Macaffer
496,93,93,16,4972,Home,Travis Cloke
497,81,104,14,4972,Home,Leigh Brown
498,70,57,14,4972,Home,Heath Shaw
499,59,79,14,4972,Home,Alan Toovey
500,61,28,14,4972,Home,Tyson Goldsack
501,59,75,12,4972,Home,Nick Maxwell
502,55,71,12,4972,Home,John Anthony
503,40,76,9,4972,Home,Nathan Brown
504,48,34,7,4972,Home,Chris Dawes
505,18,28,5,4972,Home,Heritier Lumumba
506,107,120,29,4972,Away,Scott Thompson
507,117,135,27,4972,Away,Graham Johncock
508,70,87,21,4972,Away,Brent Reilly
509,76,75,20,4972,Away,Michael Doughty
510,86,91,20,4972,Away,Ben Rutten
511,78,100,20,4972,Away,Rory Sloane
512,89,113,19,4972,Away,Scott Stevens
513,81,74,19,4972,Away,Brad Symes
514,86,63,19,4972,Away,Nathan Van Berlo
515,77,46,19,4972,Away,Patrick Dangerfield
516,79,60,18,4972,Away,Richard Douglas
517,67,58,17,4972,Away,Jason Porplyzia
518,51,58,14,4972,Away,Chris Schmidt
519,49,37,14,4972,Away,David MacKay
520,50,59,12,4972,Away,Phil Davis
521,59,61,11,4972,Away,Ivan Maric
522,51,67,10,4972,Away,Taylor Walker
523,65,47,9,4972,Away,Ricky Henderson
524,41,45,9,4972,Away,Matthew Jaensch
525,37,50,6,4972,Away,Kurt Tippett
526,20,22,2,4972,Away,James Sellar
527,27,23,2,4972,Away,Will Young
528,93,63,27,4973,Home,Daniel Hannebery
529,103,123,25,4973,Home,Adam Goodes
530,111,148,25,4973,Home,Kieren Jack
531,71,91,22,4973,Home,Tadhg Kennelly
532,58,98,22,4973,Home,Ted Richards
533,89,132,21,4973,Home,Jarrad McVeigh
534,78,89,21,4973,Home,Heath Grundy
535,110,157,20,4973,Home,Jude Bolton
536,82,109,19,4973,Home,Josh P Kennedy
537,57,105,16,4973,Home,Martin Mattner
538,68,44,15,4973,Home,Brett Meredith
539,65,71,15,4973,Home,Gary Rohan
540,92,130,15,4973,Home,Trent DLane
541,74,89,14,4973,Home,Paul Bevan
542,65,86,13,4973,Home,Brett Kirk
543,55,95,13,4973,Home,Rhyce Shaw
544,46,69,13,4973,Home,Nick Smith
545,87,93,13,4973,Home,Mike Pyke
546,44,39,12,4973,Home,Nick Malceski
547,56,58,12,4973,Home,Lewis Jetta
548,27,41,5,4973,Home,Jesse White
549,31,46,2,4973,Home,Shane Mumford
550,110,84,24,4973,Away,Matthew Boyd
551,75,71,17,4973,Away,Nathan Eagleton
552,62,74,17,4973,Away,Ryan Hargrave
553,64,59,15,4973,Away,Brian Lake
554,83,101,15,4973,Away,Ben Hudson
555,68,84,15,4973,Away,Ryan Griffen
556,77,60,15,4973,Away,Liam Picken
557,48,70,13,4973,Away,Mitch Hahn
558,67,106,13,4973,Away,Daniel Cross
559,52,63,13,4973,Away,Callan Ward
560,31,30,11,4973,Away,Robert Murphy
561,68,72,11,4973,Away,Jarrod Harbrow
562,39,47,10,4973,Away,Brodie Moles
563,48,70,9,4973,Away,Barry Hall
564,48,61,9,4973,Away,Lindsay Gilbee
565,32,17,9,4973,Away,Tom Williams
566,39,48,9,4973,Away,Dale Morris
567,77,66,9,4973,Away,Jarrad Grant
568,35,46,8,4973,Away,Daniel Giansiracusa
569,41,45,7,4973,Away,Liam Jones
570,29,42,6,4973,Away,Brad Johnson
571,6,9,1,4973,Away,Adam Cooney
572,92,106,27,4974,Home,Domenic Cassisi
573,110,110,26,4974,Home,Kane Cornes
574,87,115,22,4974,Home,Travis Boak
575,92,120,20,4974,Home,Danyle Pearce
576,76,92,19,4974,Home,Matthew Broadbent
577,76,107,18,4974,Home,Matt Thomas
578,86,78,16,4974,Home,Dean Brogan
579,49,59,16,4974,Home,Jay Nash
580,70,90,15,4974,Home,David Rodan
581,83,96,15,4974,Home,Robbie Gray
582,48,71,14,4974,Home,Alipate Carlile
583,76,60,14,4974,Home,Justin Westhoff
584,81,141,13,4974,Home,Jay Schulz
585,69,77,12,4974,Home,Danny Meyer
586,55,40,11,4974,Home,Paul Stewart
587,53,35,11,4974,Home,Cameron Hitchcock
588,31,27,10,4974,Home,Andrew Moore
589,28,40,9,4974,Home,Jackson Trengove
590,45,51,8,4974,Home,Nick Salter
591,55,42,8,4974,Home,Daniel Stewart
592,36,42,6,4974,Home,Troy Chaplin
593,10,12,1,4974,Home,Brett Ebert
594,120,129,39,4974,Away,Cameron Bruce
595,76,94,28,4974,Away,Brent Moloney
596,116,159,27,4974,Away,James McDonald
597,87,90,27,4974,Away,Tom Scully
598,95,92,25,4974,Away,Cale Morton
599,91,92,24,4974,Away,Jordie McKenzie
600,81,86,20,4974,Away,James Frawley
601,65,109,19,4974,Away,Jared Rivers
602,72,60,19,4974,Away,Nathan Jones
603,82,74,16,4974,Away,Michael Newton
604,61,63,15,4974,Away,Lynden Dunn
605,50,56,14,4974,Away,Matthew Warnock
606,49,56,14,4974,Away,Clint Bartram
607,53,72,14,4974,Away,Colin Garland
608,78,70,14,4974,Away,Jack Trengove
609,49,40,13,4974,Away,Brad Green
610,40,56,13,4974,Away,Rohan Bail
611,81,126,11,4974,Away,Liam Jurrah
612,46,36,9,4974,Away,Austin Wonaeamirri
613,49,47,8,4974,Away,Jack Watts
614,38,31,7,4974,Away,Jamie Bennell
615,53,54,5,4974,Away,Mark Jamar
616,100,104,26,4975,Home,Leroy Jetta
617,103,121,25,4975,Home,Cale Hooker
618,89,81,21,4975,Home,Brent Stanton
619,98,106,20,4975,Home,Courtenay Dempsey
620,68,36,19,4975,Home,Stewart Crameri
621,58,81,17,4975,Home,Jobe Watson
